Sr,Name,Docstatus,Customer,Type of Invoice,Grand Total,Status,Currency,Grand Total (Company Currency),Outstanding Amount,Payment Due Date,Integrator ID,Party Account Currency,POS Profile,Date,Price List Rate,Item Name,Item,Sales Invoice
1541,MP-SINV-2024-80821,1,Cash - Shopify ID,Full Payment,409200,Paid,IDR,409200,0,2024-05-06,324014,IDR,Shopify ID - Kasir,2024-05-06,138000,AL MAZAN TRAVEL SAJJADA - BLACK,TMCSJ300800BADZ,9056bd8014
1542,MP-SINV-2024-80821,1,Cash - Shopify ID,Full Payment,409200,Paid,IDR,409200,0,2024-05-06,324014,IDR,Shopify ID - Kasir,2024-05-06,88000,EVO SUGINAMI CHARGER PACK - NAVY,TUBOG100102INBMFNG,d5628d3716
1543,MP-SINV-2024-80821,1,Cash - Shopify ID,Full Payment,409200,Paid,IDR,409200,0,2024-05-06,324014,IDR,Shopify ID - Kasir,2024-05-06,138000,CORDOBA TRAVEL SAJJADA - BLACK,TMCSJ300800BADO,f44fd74609
1544,MP-SINV-2024-80775,1,Cash - Shopify ID,Full Payment,371680,Paid,IDR,371680,0,2024-05-06,324016,IDR,Shopify ID - Kasir,2024-05-06,438000,PADAR TOTEBACPACK - BLACK,TUBBE314912BAPOLNG,4d7ea03226
1545,MP-SINV-2024-80775,1,Cash - Shopify ID,Full Payment,371680,Paid,IDR,371680,0,2024-05-06,324016,IDR,Shopify ID - Kasir,2024-05-06,88000,NEO MINI CASE - BLACK,TUBPM100100BANXNG,59b3c9d3f7
1546,MP-SINV-2024-80399,1,Cash - Shopify ID,Full Payment,273920,Paid,IDR,273920,0,2024-05-06,324020,IDR,Shopify ID - Kasir,2024-05-06,428000,Yesan Foldable Duffle Bag Grey,TMBBD100140GG,d58c9d2844
1547,MP-SINV-2024-80774,1,Cash - Shopify ID,Full Payment,480640,Paid,IDR,480640,0,2024-05-06,324023,IDR,Shopify ID - Kasir,2024-05-06,238000,NEO JILIN LAPTOP ORGANIZER - BLACK ,TUBOL100100BANXNG,31817e2451
1548,MP-SINV-2024-80774,1,Cash - Shopify ID,Full Payment,480640,Paid,IDR,480640,0,2024-05-06,324023,IDR,Shopify ID - Kasir,2024-05-06,428000,Yesan Foldable Duffle Bag Black,TMBBD100140BA,9a9846b78b
1549,MP-SINV-2024-80774,1,Cash - Shopify ID,Full Payment,480640,Paid,IDR,480640,0,2024-05-06,324023,IDR,Shopify ID - Kasir,2024-05-06,68000,GABARDINA TWO PIECE RAINCOAT - WHITE,TUAJI306975WHPOLNG,fa3084635b
1550,MP-SINV-2024-80409,1,Cash - Shopify ID,Full Payment,284490.8,Paid,IDR,284490.8,0,2024-05-06,324027,IDR,Shopify ID - Kasir,2024-05-06,418000,ALMAGRO OFFICE BACKPACK - BLACK,TMBBO2033BJNG,0aa470e5d5
1551,MP-SINV-2024-80420,1,Cash - Shopify ID,Full Payment,217792,Paid,IDR,217792,0,2024-05-06,324037,IDR,Shopify ID - Kasir,2024-05-06,328000,Loka Backpack - Black,TUBBD308212BAPOLNG,e594c265bb
1552,MP-SINV-2024-80798,1,Cash - Shopify ID,Full Payment,28380,Paid,IDR,28380,0,2024-05-06,324041,IDR,Shopify ID - Kasir,2024-05-06,18000,STICKER JFW 2023 A5,S2023.STCKJFW23.J23,6ca7ab8432
1553,MP-SINV-2024-80798,1,Cash - Shopify ID,Full Payment,28380,Paid,IDR,28380,0,2024-05-06,324041,IDR,Shopify ID - Kasir,2024-05-06,48000,LANYARD JFW 2023 YELLOW,TUCLY308100YV,b5187ad294
1554,MP-SINV-2024-80723,1,Cash - Shopify ID,Full Payment,522000,Paid,IDR,522000,0,2024-05-06,324052,IDR,Shopify ID - Kasir,2024-05-06,58000,TOALLA TRAVEL ICE TOWEL - NAVY,TUCTG206973INNG,071a4d6c77
